Zone,Range,5am-7am,7am-9:30am,9:30am-10:30am,10:30am-2:30pm,2:30pm-3:30pm,3:30pm-6pm,6pm-9pm,9pm-5am
1,QEW to Dundas,56.49,62.90,62.52,56.48,62.84,62.89,62.88,49.93
2,Dundas to Neyagawa,57.32,62.54,62.53,57.31,62.52,62.53,62.52,50.56
3,Neyagawa to Hwy 403,62.52,62.54,62.53,62.51,62.52,62.53,62.52,50.56
4,Hwy 403 to Hwy 401,60.70,62.55,62.52,60.69,62.53,62.54,62.37,50.56
5,Hwy 401 to Hwy 410,68.25,69.33,68.95,68.24,69.31,69.32,68.25,50.56
6,Hwy 410 to Hwy 427,81.32,106.58,81.32,81.31,81.32,106.59,81.32,50.56
7,Hwy 427 to Hwy 400,82.76,112.79,82.76,82.75,82.76,119.21,82.76,50.56
8,Hwy 400 to Yonge,80.83,112.79,80.83,80.82,80.83,119.21,80.83,50.56
9,Yonge to Hwy 404,82.79,112.79,82.79,82.78,82.79,119.21,82.79,50.56
10,Hwy 404 to McCowan,67.79,95.60,67.79,67.78,69.40,102.73,67.79,50.56
11,McCowan to York-Durham,73.08,95.60,73.08,73.07,73.08,116.90,73.08,50.56
12,York-Durham to Brock,77.87,95.60,78.02,77.86,97.06,116.87,77.87,50.56
