Zone,Range,5am-7am,7am-9:30am,9:30am-10:30am,10:30am-2:30pm,2:30pm-3:30pm,3:30pm-6pm,6pm-9pm,9pm-5am
1,QEW to Dundas,79.13,97.39,79.08,79.07,99.81,99.81,79.08,50.66
2,Dundas to Neyagawa,65.16,65.17,65.16,65.15,65.17,65.18,65.17,50.56
3,Neyagawa to Hwy 403,66.61,67.47,66.59,66.58,67.48,67.49,66.59,50.53
4,Hwy 403 to Hwy 401,61.18,69.59,61.18,61.17,69.59,69.60,69.48,50.49
5,Hwy 401 to Hwy 410,79.08,85.35,79.08,79.07,79.08,85.36,79.08,50.56
6,Hwy 410 to Hwy 427,71.55,100.12,71.55,71.54,71.55,100.13,71.55,50.56
7,Hwy 427 to Hwy 400,76.23,108.79,76.23,76.22,76.23,108.80,76.23,50.56
8,Hwy 400 to Yonge,72.83,108.79,72.83,72.82,72.83,108.79,72.83,50.56
9,Yonge to Hwy 404,72.83,108.79,72.83,72.82,72.83,108.79,72.83,50.56
10,Hwy 404 to McCowan,56.49,62.30,62.29,56.48,62.28,62.29,62.28,50.56
11,McCowan to York-Durham,64.05,99.24,66.50,62.27,62.28,70.76,62.28,50.56
12,York-Durham to Brock,64.05,99.24,66.50,64.04,64.05,70.76,64.05,50.56
