Zone,Range,8:30am-10am,10am-7pm,7pm-9pm,9pm-8:30am
1,QEW to Dundas,49.94,50.57,50.57,49.93
2,Dundas to Neyagawa,50.57,50.58,50.57,50.56
3,Neyagawa to Hwy 403,50.57,50.58,50.57,50.56
4,Hwy 403 to Hwy 401,50.57,50.58,50.57,50.56
5,Hwy 401 to Hwy 410,50.57,50.58,50.57,50.56
6,Hwy 410 to Hwy 427,71.91,79.01,50.57,50.56
7,Hwy 427 to Hwy 400,71.91,87.27,50.57,50.56
8,Hwy 400 to Yonge,71.91,87.27,50.57,50.56
9,Yonge to Hwy 404,71.91,87.27,50.57,50.56
10,Hwy 404 to McCowan,56.14,56.15,50.57,50.56
11,McCowan to York-Durham,50.57,52.84,50.57,50.56
12,York-Durham to Brock,71.90,84.04,71.91,50.56
