Zone,Range,8:30am-10am,10am-7pm,7pm-9pm,9pm-8:30am
1,QEW to Dundas,63.43,63.44,63.43,50.66
2,Dundas to Neyagawa,59.31,59.32,58.29,50.56
3,Neyagawa to Hwy 403,50.54,50.55,50.54,50.53
4,Hwy 403 to Hwy 401,50.50,50.51,50.50,50.49
5,Hwy 401 to Hwy 410,50.57,59.61,50.57,50.56
6,Hwy 410 to Hwy 427,50.57,83.19,50.57,50.56
7,Hwy 427 to Hwy 400,71.91,87.27,50.57,50.56
8,Hwy 400 to Yonge,71.91,78.86,50.57,50.56
9,Yonge to Hwy 404,55.99,87.27,50.57,50.56
10,Hwy 404 to McCowan,50.57,50.58,50.57,50.56
11,McCowan to York-Durham,50.57,50.58,50.57,50.56
12,York-Durham to Brock,71.91,83.99,50.57,50.56
